cohesion,separation,alignment_variance,clusters,isolated,connected
8.759418823060491e-08,12709.917531591227,684.8420852500683,18,0,100
7.481174547977874e-08,12240.815128909067,1153.2826054257484,16,0,100
7.00302087289575e-08,10180.413259053588,1551.839345277898,15,0,100
6.520056439206291e-08,10793.319491950371,1388.766267509764,13,0,100
6.380862213504931e-08,8558.47264175333,1526.7026100857106,11,0,100
5.907557319399616e-08,8818.376269260749,1226.7617538254797,13,0,100
5.5650762210183824e-08,7248.749100131631,1395.6809670346204,12,0,100
5.262654084889178e-08,8813.593837967615,1486.7694393682618,13,0,100
5.1260501721018004e-08,6547.963108410278,1621.5070961835372,15,0,100
4.959755266223987e-08,6379.327242897132,1728.467560627922,15,0,100
4.892230554601807e-08,6536.718165672963,1575.5183588087289,16,0,100
4.7927464414337315e-08,6859.3641101412995,1471.0631032746492,16,0,100
4.673004479776049e-08,6576.538764193089,1116.371710240713,19,0,100
4.66122232583109e-08,4526.307558039729,1613.1793457009078,18,0,100
4.6381651207911333e-08,5916.95154180583,1339.0533037789642,17,0,100
4.607701104214442e-08,5601.889161316096,1470.1204450243258,17,0,100
4.613867569662456e-08,4882.005287303871,1935.210475787229,17,0,100
4.648399576636599e-08,4984.723062633268,1957.0835514370438,17,0,100
4.695459626754018e-08,5588.072386534405,1975.8384794704905,17,0,100
4.752949345817379e-08,5238.345393584374,1728.1667022130614,17,0,100
4.8039992648423987e-08,4733.617383609203,1971.3316828174964,16,0,100
4.9277723822792804e-08,6935.992818756913,1757.3803421078412,20,0,100
5.125900889114335e-08,7040.369695477736,1468.197357119086,20,0,100
5.27579579916275e-08,6674.952531315795,1506.9480026281435,20,0,100
5.5760857974609803e-08,7667.449066710435,1613.7074678754716,24,0,100
5.726483954684189e-08,7627.926539797011,1604.7900812911498,26,0,100
6.130370147854198e-08,8647.686908189762,1750.162213362588,25,0,100
6.528864495317755e-08,9111.473799198126,1638.694234242681,25,0,100
6.581566004930888e-08,9382.90959527378,1461.2869015889394,26,0,100
6.906931093117645e-08,9966.438484264387,1583.8031835482266,27,0,100
7.394365572500662e-08,10572.068012185513,1690.5989390703508,28,0,100
7.999183660744845e-08,11031.316394617821,1821.23990834137,27,0,100
8.609632895827932e-08,11530.98655090951,1974.8414772093986,26,0,100
9.019418747567246e-08,11978.9346681103,1753.4621875005596,26,0,100
9.89936166988807e-08,12611.279071790568,1604.7487047407997,27,0,100
1.0550976944669265e-07,13201.760432123363,1715.6461908064016,27,0,100
1.070451520071203e-07,13379.300556042983,1562.199444862757,28,0,100
1.0865331173158364e-07,13427.754175955124,1397.4222321162579,28,0,100
1.1028831931820691e-07,13520.143098733546,1409.4855805005086,28,0,100
1.1912216505586508e-07,13865.244698186803,1416.19267862187,29,0,100
1.2081496955877607e-07,14195.862721737476,1355.6986965396156,29,0,100
1.2272178467684242e-07,14211.21165366397,1243.597036346649,29,0,100
1.3492509496375827e-07,14535.570654753066,1262.2857599393108,29,0,100
1.3685474375416567e-07,14759.46797666542,1267.548758994326,29,0,100
1.446903427007312e-07,14965.68993071343,1245.464354618859,28,0,100
1.4648281437659224e-07,15102.173781607858,1207.8411769004028,28,0,100
1.5476883477606642e-07,15225.726613132858,1312.109399388935,27,0,100
1.5712697420021224e-07,15526.376013051617,1125.9052384366973,27,0,100
1.586206565128524e-07,15542.780758311988,1095.5721065450637,26,0,100
1.6026469235935032e-07,15592.378184070136,951.0859248419265,26,0,100
1.618149243898372e-07,15624.900160711179,936.2788506777205,27,0,100
1.6328182356547352e-07,15677.04485771345,1081.7155821027113,27,0,100
1.649210743559263e-07,15691.328055546624,992.1924680868916,27,0,100
1.665028893794748e-07,15775.87811011981,1001.4547943031032,26,0,100
1.677453624968767e-07,15862.980818623197,1003.0819417607368,26,0,100
1.7285991351758541e-07,15879.95792367593,808.5959524964197,28,0,100
1.7793078398793406e-07,15959.499939386129,783.8597681572816,29,0,100
1.8647854406395115e-07,16319.874615726334,897.1748773587816,31,0,100
1.9108120274316202e-07,16245.797303595762,694.4673270617113,32,0,100
1.9042565349766357e-07,16366.6880587131,670.0232825112225,31,0,100
1.8774462951581373e-07,16526.513638964196,673.8813554656676,32,0,100
1.9095998624215847e-07,16364.26545482968,728.1173474245211,31,0,100
1.9415899137390912e-07,16338.352824301128,520.912074744056,30,0,100
1.92525343832599e-07,16222.849251566944,419.1869365202877,31,0,100
1.926157804879772e-07,16106.521725909235,340.510529763505,31,0,100
1.9090777713277166e-07,16226.278052889378,464.1877218265227,31,0,100
1.8903499761530973e-07,16189.838295366038,543.4151228977253,31,0,100
1.871456353349551e-07,15982.9372698704,426.3952842249673,32,0,100
1.8677145603845615e-07,15866.459137798105,320.367936591313,32,0,100
1.845484499776751e-07,15871.997601256291,318.2440659467971,32,0,100
1.8415243448421258e-07,15723.392667724293,415.59552693231143,32,0,100
1.8399415979266192e-07,15634.836917554516,356.7832454536701,32,0,100
1.8400555587924787e-07,15515.536782586847,435.54627940324264,30,0,100
1.8394548834104238e-07,15441.832618567063,496.75049878642216,30,0,100
1.838123091469398e-07,15411.2800406501,675.50634133592,29,0,100
